status,session_id,attempt,seed,arm,method,capacity,device,ledger_path,ledger_sha256,measured_events,core_required_events,post_release_results_observed,post_release_on_time_count,post_release_on_time_coverage,nominal_results_observed,nominal_on_time_count,nominal_on_time_coverage,post_release_latency_ms_p50,post_release_latency_ms_p95,post_release_latency_ms_p99,nominal_latency_ms_p50,nominal_latency_ms_p95,nominal_latency_ms_p99,release_lateness_ms_p50,release_lateness_ms_p95,release_lateness_ms_p99
PASS,F12_S01,a01,3668046706,A,fixed_local,low,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_low/raw/probe/P1/F12_S01_A_low_a01/event_ledger.jsonl,8dd1a69f867f93dc8b9f1bf4971d250b592e4c94ad0a72314c23a99dc1cf24ec,90,0,0,0,,0,0,,,,,,,,1862.2362320000002,1920.8945382,1924.10903705
PASS,F12_S01,a01,3668046706,A,fixed_local,low,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_low/raw/probe/P2/F12_S01_A_low_a01/event_ledger.jsonl,3bf6d56cc229917696996e1c7b26670ea5d5fbd375fb90dec61a5a7d992b2a54,90,0,0,0,,0,0,,,,,,,,760.3261315,831.7642052,834.13049203
PASS,F12_S01,a01,3668046706,A,fixed_local,low,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_low/raw/probe/P3/F12_S01_A_low_a01/event_ledger.jsonl,240cc0fa49cc8690d5257310502a32325926ca3611f5d13525c7858668e6b49d,90,0,0,0,,0,0,,,,,,,,86.3186565,155.71122745,161.97214248
PASS,F12_S01,a01,3668046706,A,fixed_local,mid,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_mid/raw/probe/P1/F12_S01_A_mid_a01/event_ledger.jsonl,1dd485ed9081e3161f40d48ba98935d4f7181ebd975e4a786a620fe5d8536b45,90,0,0,0,,0,0,,,,,,,,1828.4431085,1979.1227642,1980.5853182
PASS,F12_S01,a01,3668046706,A,fixed_local,mid,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_mid/raw/probe/P2/F12_S01_A_mid_a01/event_ledger.jsonl,27cdbe114bd19e4a7f56fadb9da74e308fb7f2f53c3b737e9ed497227dcca226,90,0,0,0,,0,0,,,,,,,,636.763644,775.73113185,780.35672627
PASS,F12_S01,a01,3668046706,A,fixed_local,mid,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_mid/raw/probe/P3/F12_S01_A_mid_a01/event_ledger.jsonl,01fa31fb98b752b929567f9a523aa260f10f31adfe1663d318355dcc75e916a9,90,0,0,0,,0,0,,,,,,,,87.51574450000001,165.13367045,172.53885900999998
PASS,F12_S01,a01,3668046706,A,fixed_local,high,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_high/raw/probe/P1/F12_S01_A_high_a01/event_ledger.jsonl,698fa5553d9c414b377dc354543733da11f62350dcdf8054ddc3f3dfffaa8b71,90,0,0,0,,0,0,,,,,,,,1827.5337205,1862.9542516,1913.42665947
PASS,F12_S01,a01,3668046706,A,fixed_local,high,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_high/raw/probe/P2/F12_S01_A_high_a01/event_ledger.jsonl,0671d883bccd1039fbf2b4554fa22aacecb0cc5639fb53431bd7221a3deb6ebc,90,0,0,0,,0,0,,,,,,,,636.951907,671.0116679,673.3304934299999
PASS,F12_S01,a01,3668046706,A,fixed_local,high,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/A_high/raw/probe/P3/F12_S01_A_high_a01/event_ledger.jsonl,43882d97a5c23b847818a32e8db04047766cfe30cde99dd49613e2eb0a658850,90,0,0,0,,0,0,,,,,,,,84.3794625,156.50013235,163.47162162
PASS,F12_S01,a01,3668046706,B,fixed_summary,low,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_low/raw/probe/P1/F12_S01_B_low_a01/event_ledger.jsonl,6f1b3ceca3633210dfad838c41b6daee0bb19ce39fd9795c32ee49524526ca8b,90,0,0,0,,0,0,,,,,,,,1952.644027,2001.9559436,2006.5448468700001
PASS,F12_S01,a01,3668046706,B,fixed_summary,low,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_low/raw/probe/P2/F12_S01_B_low_a01/event_ledger.jsonl,01a9cb1c0834dc41a37778db507b361299998dc465240fb7fe51c051ccd36465,90,0,0,0,,0,0,,,,,,,,712.1340245,750.0655405,753.38925389
PASS,F12_S01,a01,3668046706,B,fixed_summary,low,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_low/raw/probe/P3/F12_S01_B_low_a01/event_ledger.jsonl,c4930c8785acb10e4e83e64a7e432b4d64ae68a365bb32535d33283e6cc2e681,90,0,0,0,,0,0,,,,,,,,83.99517,156.40615259999998,163.82598424
PASS,F12_S01,a01,3668046706,B,fixed_summary,mid,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_mid/raw/probe/P1/F12_S01_B_mid_a01/event_ledger.jsonl,0e248b0d1e327318423e07264984e20b1bf7b757e4ac46aefab932d330f16759,90,0,0,0,,0,0,,,,,,,,1922.635364,1997.05646185,2001.53552745
PASS,F12_S01,a01,3668046706,B,fixed_summary,mid,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_mid/raw/probe/P2/F12_S01_B_mid_a01/event_ledger.jsonl,de3b671852a1704d37c78b91a44638c4f098889ef3f3f807404190c955ab01be,90,0,0,0,,0,0,,,,,,,,715.9953989999999,804.248301,806.4944523099999
PASS,F12_S01,a01,3668046706,B,fixed_summary,mid,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_mid/raw/probe/P3/F12_S01_B_mid_a01/event_ledger.jsonl,fdad80eda28ac8c41721eaa25042472576b3030458d567acd3dec1e85fe2a64c,90,0,0,0,,0,0,,,,,,,,85.2301065,153.63925595,159.95831929
PASS,F12_S01,a01,3668046706,B,fixed_summary,high,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_high/raw/probe/P1/F12_S01_B_high_a01/event_ledger.jsonl,e9418041d8b3cd6c4a530426e678ca3c5433d401b46f3573493955062b053e20,90,0,0,0,,0,0,,,,,,,,1925.5878125,1978.02873685,1981.44984398
PASS,F12_S01,a01,3668046706,B,fixed_summary,high,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/B_high/raw/probe/P2/F12_S01_B_high_a01/event_ledger.jsonl,9133d460b6987c1a2749176ec23b22e37c39fa79976c0c83e126a0245672e4a1,90,0,0,0,,0,0,,,,,,,,745.4642524999999,802.8846916499999,806.7957430800001
