session_id,accepted_attempt,size_bytes,sha256,receipt_sha256,crc,restored_hashes
F12_S01,a01,34174422,b4489fdfee4a194380b5ecc71e9757a0da162d3662ea2c8c7077bebd756e002b,b4489fdfee4a194380b5ecc71e9757a0da162d3662ea2c8c7077bebd756e002b,PASS,PASS
F12_S02,a01,34070693,e1ed672f7bafb65c62fb19331dc8daa3a92d4760422a064d5071a0ed948b5cc5,e1ed672f7bafb65c62fb19331dc8daa3a92d4760422a064d5071a0ed948b5cc5,PASS,PASS
F12_S03,a02,57055075,4e13e7610ec189f4bee5eabcf78352f7fcc4e5ef53d10336ee981128ced93dc7,4e13e7610ec189f4bee5eabcf78352f7fcc4e5ef53d10336ee981128ced93dc7,PASS,PASS
F12_S04,a02,40626315,172278dbc01c42de0142d2d82636b0e2fc8a3af5ac7776f8d15c4d2a8876eafe,172278dbc01c42de0142d2d82636b0e2fc8a3af5ac7776f8d15c4d2a8876eafe,PASS,PASS
F12_S05,a01,34088651,17403266fcb823bc1685baec785af5cdd1007eba6ffa4e119b40b724eb4cbb59,17403266fcb823bc1685baec785af5cdd1007eba6ffa4e119b40b724eb4cbb59,PASS,PASS
F12_S06,a01,34035164,c7897e3605f5d47c5941a63b5a700407b08d8986e4be4762359152c1a869c5c6,c7897e3605f5d47c5941a63b5a700407b08d8986e4be4762359152c1a869c5c6,PASS,PASS
F12_S07,a02,49936423,0d3a90a25adcf55f3147783c8d25aeab58f909616517dd8c8458a0c9d3fe8987,0d3a90a25adcf55f3147783c8d25aeab58f909616517dd8c8458a0c9d3fe8987,PASS,PASS
F12_S08,a01,34249440,33da448dd9467aecb974b1fafaaa5c87d22151e20435abccb9b3d5eb54ce283f,33da448dd9467aecb974b1fafaaa5c87d22151e20435abccb9b3d5eb54ce283f,PASS,PASS
F12_S09,a01,34256938,aded6999fe11f3db34a52dba461247c0a964e87f3401d458f74f1febbf8af95c,aded6999fe11f3db34a52dba461247c0a964e87f3401d458f74f1febbf8af95c,PASS,PASS
F12_S10,a01,34218229,bd338a2622061addc494925da4c2e8ee69aa28aabb1d13ee76e35b4a766ca85d,bd338a2622061addc494925da4c2e8ee69aa28aabb1d13ee76e35b4a766ca85d,PASS,PASS
F12_S11,a01,34263065,5f6c3fcea5b7d8847e6dd3a52b94fbdabe9538efb8f5a61803cdcd5ff2836a12,5f6c3fcea5b7d8847e6dd3a52b94fbdabe9538efb8f5a61803cdcd5ff2836a12,PASS,PASS
F12_S12,a01,34184663,0877e71558040e81924df82004fbe1300662e44ae3232b21d1ce18e88ac5e3a8,0877e71558040e81924df82004fbe1300662e44ae3232b21d1ce18e88ac5e3a8,PASS,PASS
