metric,method_a,method_b,mean_difference,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,holm_p,sign_flip_method,n_sessions,n_capacity_cells
FPR,central-DPP (E),fixed-full (C),-0.2817162281160578,-0.296206835444585,-0.2679896551369652,0.00048828125,0.00732421875,exact,12,36
FPR,central-DPP (E),fixed-local (A),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,central-DPP (E),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,central-DPP (E),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,central-DPP (E),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,fixed-full (C),fixed-local (A),0.2817162281160578,0.26799149970762515,0.296214314521937,0.00048828125,0.00732421875,exact,12,36
FPR,fixed-full (C),fixed-summary (B),0.2817162281160578,0.26799149970762515,0.296214314521937,0.00048828125,0.00732421875,exact,12,36
FPR,fixed-full (C),independent-DPP (D),0.2817162281160578,0.26799149970762515,0.296214314521937,0.00048828125,0.00732421875,exact,12,36
FPR,fixed-full (C),shielded-DPP (F),0.2817162281160578,0.26799149970762515,0.296214314521937,0.00048828125,0.00732421875,exact,12,36
FPR,fixed-local (A),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,fixed-local (A),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,fixed-local (A),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,fixed-summary (B),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,fixed-summary (B),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
FPR,independent-DPP (D),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,central-DPP (E),fixed-full (C),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,central-DPP (E),fixed-local (A),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,central-DPP (E),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,central-DPP (E),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,central-DPP (E),shielded-DPP (F),-0.00010288065843621399,-0.00030864197530864197,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-full (C),fixed-local (A),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-full (C),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-full (C),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-full (C),shielded-DPP (F),-0.00010288065843621399,-0.00030864197530864197,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-local (A),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-local (A),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-local (A),shielded-DPP (F),-0.00010288065843621399,-0.00030864197530864197,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-summary (B),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
deadline-violation rate,fixed-summary (B),shielded-DPP (F),-0.00010288065843621399,-0.00030864197530864197,0.0,1.0,1.0,exact,12,36
deadline-violation rate,independent-DPP (D),shielded-DPP (F),-0.00010288065843621399,-0.00030864197530864197,0.0,1.0,1.0,exact,12,36
mean E2E (ms),central-DPP (E),fixed-full (C),-22.39363325144034,-40.63493817016461,-4.424830590226359,0.0419921875,0.5458984375,exact,12,36
mean E2E (ms),central-DPP (E),fixed-local (A),-2.0574749865225974,-14.027033972119312,8.472118803806657,0.736328125,1.0,exact,12,36
mean E2E (ms),central-DPP (E),fixed-summary (B),-2.2676631112139964,-16.025133243724287,9.971719612551425,0.748046875,1.0,exact,12,36
mean E2E (ms),central-DPP (E),independent-DPP (D),10.75696077181066,-6.620470168827192,31.973604799999965,0.3681640625,1.0,exact,12,36
mean E2E (ms),central-DPP (E),shielded-DPP (F),5.813498040843608,-7.8767975786008435,20.847478689403307,0.490234375,1.0,exact,12,36
mean E2E (ms),fixed-full (C),fixed-local (A),20.336158264917742,-1.388579351646077,35.195070584979476,0.068359375,0.8203125,exact,12,36
mean E2E (ms),fixed-full (C),fixed-summary (B),20.125970140226343,-2.759631362345677,34.146275905041136,0.08447265625,0.92919921875,exact,12,36
mean E2E (ms),fixed-full (C),independent-DPP (D),33.150594023250996,19.800532622016437,48.33126050895057,0.0009765625,0.0146484375,exact,12,36
mean E2E (ms),fixed-full (C),shielded-DPP (F),28.207131292283947,19.193972632613207,36.5629893222222,0.00146484375,0.0205078125,exact,12,36
mean E2E (ms),fixed-local (A),fixed-summary (B),-0.21018812469139903,-5.399025201234603,5.177891602057552,0.93896484375,1.0,exact,12,36
mean E2E (ms),fixed-local (A),independent-DPP (D),12.814435758333255,-6.353933568724358,37.15630236028802,0.3837890625,1.0,exact,12,36
mean E2E (ms),fixed-local (A),shielded-DPP (F),7.870973027366205,-5.838604500205851,28.06704525462962,0.58642578125,1.0,exact,12,36
mean E2E (ms),fixed-summary (B),independent-DPP (D),13.024623883024654,-6.350638908539129,38.586804206687226,0.361328125,1.0,exact,12,36
mean E2E (ms),fixed-summary (B),shielded-DPP (F),8.081161152057604,-7.097339469444449,30.486960490843597,0.66455078125,1.0,exact,12,36
mean E2E (ms),independent-DPP (D),shielded-DPP (F),-4.943462730967052,-24.36587965236622,8.977514683436246,0.720703125,1.0,exact,12,36
queue-violation rate,central-DPP (E),fixed-full (C),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,central-DPP (E),fixed-local (A),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,central-DPP (E),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,central-DPP (E),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,central-DPP (E),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-full (C),fixed-local (A),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-full (C),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-full (C),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-full (C),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-local (A),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-local (A),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-local (A),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-summary (B),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,fixed-summary (B),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
queue-violation rate,independent-DPP (D),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
timely-F1,central-DPP (E),fixed-full (C),0.06649298546983169,0.06263907278995907,0.07008525523209534,0.00048828125,0.00732421875,exact,12,36
timely-F1,central-DPP (E),fixed-local (A),0.0,0.0,0.0,1.0,1.0,exact,12,36
timely-F1,central-DPP (E),fixed-summary (B),0.0,0.0,0.0,1.0,1.0,exact,12,36
timely-F1,central-DPP (E),independent-DPP (D),0.0,0.0,0.0,1.0,1.0,exact,12,36
timely-F1,central-DPP (E),shielded-DPP (F),0.0,0.0,0.0,1.0,1.0,exact,12,36
timely-F1,fixed-full (C),fixed-local (A),-0.06649298546983169,-0.07008322686884641,-0.06263820685879933,0.00048828125,0.00732421875,exact,12,36
timely-F1,fixed-full (C),fixed-summary (B),-0.06649298546983169,-0.07008322686884641,-0.06263820685879933,0.00048828125,0.00732421875,exact,12,36
