session_id,attempt,capacity,run_id,measured_events,h_full,h_none,measured_payload_bytes,on_time_full_core_results,timely_full_generated_fraction,selected_full_events,conditional_post_release_on_time,returned_full_core_results,full_result_return_fraction,nominal_on_time_full_core_results,nominal_timely_full_generated_fraction,frontier_fraction,eta_attain,validator_status
F12_S01,a02,low,F12_S01_G_low_a02,270,90,180,11796480,81,0.3,90,0.9,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9,PASS
F12_S01,a01,mid,F12_S01_G_mid_a01,270,180,90,23592960,169,0.6259259259259259,180,0.9388888888888889,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9388888888888889,PASS
F12_S01,a01,high,F12_S01_G_high_a01,270,270,0,35389440,262,0.9703703703703703,270,0.9703703703703703,270,1.0,90,0.3333333333333333,1.0,0.9703703703703703,PASS
F12_S02,a02,low,F12_S02_G_low_a02,270,90,180,11796480,81,0.3,90,0.9,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9,PASS
F12_S02,a01,mid,F12_S02_G_mid_a01,270,180,90,23592960,171,0.6333333333333333,180,0.95,180,1.0,60,0.2222222222222222,0.6666666666666666,0.95,PASS
F12_S02,a02,high,F12_S02_G_high_a02,270,270,0,35389440,257,0.9518518518518518,270,0.9518518518518518,270,1.0,90,0.3333333333333333,1.0,0.9518518518518518,PASS
F12_S03,a01,low,F12_S03_G_low_a01,270,90,180,11796480,83,0.3074074074074074,90,0.9222222222222223,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9222222222222223,PASS
F12_S03,a02,mid,F12_S03_G_mid_a02,270,180,90,23592960,165,0.6111111111111112,180,0.9166666666666666,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9166666666666667,PASS
F12_S03,a01,high,F12_S03_G_high_a01,270,270,0,35389440,256,0.9481481481481482,270,0.9481481481481482,270,1.0,89,0.3296296296296296,1.0,0.9481481481481482,PASS
F12_S04,a02,low,F12_S04_G_low_a02,270,90,180,11796480,83,0.3074074074074074,90,0.9222222222222223,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9222222222222223,PASS
F12_S04,a01,mid,F12_S04_G_mid_a01,270,180,90,23592960,170,0.6296296296296297,180,0.9444444444444444,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9444444444444445,PASS
F12_S04,a02,high,F12_S04_G_high_a02,270,270,0,35389440,262,0.9703703703703703,270,0.9703703703703703,270,1.0,90,0.3333333333333333,1.0,0.9703703703703703,PASS
F12_S05,a01,low,F12_S05_G_low_a01,270,90,180,11796480,84,0.3111111111111111,90,0.9333333333333333,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9333333333333333,PASS
F12_S05,a02,mid,F12_S05_G_mid_a02,270,180,90,23592960,169,0.6259259259259259,180,0.9388888888888889,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9388888888888889,PASS
F12_S05,a01,high,F12_S05_G_high_a01,270,270,0,35389440,261,0.9666666666666667,270,0.9666666666666667,270,1.0,90,0.3333333333333333,1.0,0.9666666666666667,PASS
F12_S06,a02,low,F12_S06_G_low_a02,270,90,180,11796480,79,0.29259259259259257,90,0.8777777777777778,90,1.0,30,0.1111111111111111,0.3333333333333333,0.8777777777777778,PASS
F12_S06,a01,mid,F12_S06_G_mid_a01,270,180,90,23592960,171,0.6333333333333333,180,0.95,180,1.0,60,0.2222222222222222,0.6666666666666666,0.95,PASS
F12_S06,a02,high,F12_S06_G_high_a02,270,270,0,35389440,266,0.9851851851851852,270,0.9851851851851852,270,1.0,90,0.3333333333333333,1.0,0.9851851851851852,PASS
F12_S07,a01,low,F12_S07_G_low_a01,270,90,180,11796480,82,0.3037037037037037,90,0.9111111111111111,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9111111111111111,PASS
F12_S07,a02,mid,F12_S07_G_mid_a02,270,180,90,23592960,172,0.6370370370370371,180,0.9555555555555556,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9555555555555556,PASS
F12_S07,a01,high,F12_S07_G_high_a01,270,270,0,35389440,261,0.9666666666666667,270,0.9666666666666667,270,1.0,90,0.3333333333333333,1.0,0.9666666666666667,PASS
F12_S08,a02,low,F12_S08_G_low_a02,270,90,180,11796480,83,0.3074074074074074,90,0.9222222222222223,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9222222222222223,PASS
F12_S08,a02,mid,F12_S08_G_mid_a02,270,180,90,23592960,173,0.6407407407407407,180,0.9611111111111111,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9611111111111111,PASS
F12_S08,a02,high,F12_S08_G_high_a02,270,270,0,35389440,257,0.9518518518518518,270,0.9518518518518518,270,1.0,90,0.3333333333333333,1.0,0.9518518518518518,PASS
F12_S09,a01,low,F12_S09_G_low_a01,270,90,180,11796480,84,0.3111111111111111,90,0.9333333333333333,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9333333333333333,PASS
F12_S09,a02,mid,F12_S09_G_mid_a02,270,180,90,23592960,172,0.6370370370370371,180,0.9555555555555556,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9555555555555556,PASS
F12_S09,a01,high,F12_S09_G_high_a01,270,270,0,35389440,265,0.9814814814814815,270,0.9814814814814815,270,1.0,90,0.3333333333333333,1.0,0.9814814814814815,PASS
F12_S10,a02,low,F12_S10_G_low_a02,270,90,180,11796480,84,0.3111111111111111,90,0.9333333333333333,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9333333333333333,PASS
F12_S10,a01,mid,F12_S10_G_mid_a01,270,180,90,23592960,176,0.6518518518518519,180,0.9777777777777777,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9777777777777779,PASS
F12_S10,a02,high,F12_S10_G_high_a02,270,270,0,35389440,264,0.9777777777777777,270,0.9777777777777777,270,1.0,90,0.3333333333333333,1.0,0.9777777777777777,PASS
F12_S11,a01,low,F12_S11_G_low_a01,270,90,180,11796480,86,0.31851851851851853,90,0.9555555555555556,90,1.0,30,0.1111111111111111,0.3333333333333333,0.9555555555555556,PASS
F12_S11,a02,mid,F12_S11_G_mid_a02,270,180,90,23592960,173,0.6407407407407407,180,0.9611111111111111,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9611111111111111,PASS
F12_S11,a01,high,F12_S11_G_high_a01,270,270,0,35389440,261,0.9666666666666667,270,0.9666666666666667,270,1.0,90,0.3333333333333333,1.0,0.9666666666666667,PASS
F12_S12,a02,low,F12_S12_G_low_a02,270,90,180,11796480,80,0.2962962962962963,90,0.8888888888888888,90,1.0,30,0.1111111111111111,0.3333333333333333,0.8888888888888888,PASS
F12_S12,a01,mid,F12_S12_G_mid_a01,270,180,90,23592960,169,0.6259259259259259,180,0.9388888888888889,180,1.0,60,0.2222222222222222,0.6666666666666666,0.9388888888888889,PASS
F12_S12,a02,high,F12_S12_G_high_a02,270,270,0,35389440,258,0.9555555555555556,270,0.9555555555555556,270,1.0,90,0.3333333333333333,1.0,0.9555555555555556,PASS
