session_id,attempt,capacity,run_id,device_id,selected_full,max_consecutive_unselected,max_inter_selection_interval,post_release_timely_full,post_release_timely_full_fraction
F12_S01,a02,low,F12_S01_G_low_a02,P1,30,2,3,28,0.9333333333333333
F12_S01,a02,low,F12_S01_G_low_a02,P2,30,2,3,23,0.7666666666666667
F12_S01,a02,low,F12_S01_G_low_a02,P3,30,2,3,30,1.0
F12_S01,a01,mid,F12_S01_G_mid_a01,P1,60,1,2,56,0.9333333333333333
F12_S01,a01,mid,F12_S01_G_mid_a01,P2,60,1,2,53,0.8833333333333333
F12_S01,a01,mid,F12_S01_G_mid_a01,P3,60,1,2,60,1.0
F12_S01,a01,high,F12_S01_G_high_a01,P1,90,0,1,88,0.9777777777777777
F12_S01,a01,high,F12_S01_G_high_a01,P2,90,0,1,84,0.9333333333333333
F12_S01,a01,high,F12_S01_G_high_a01,P3,90,0,1,90,1.0
F12_S02,a02,low,F12_S02_G_low_a02,P1,30,2,3,27,0.9
F12_S02,a02,low,F12_S02_G_low_a02,P2,30,2,3,24,0.8
F12_S02,a02,low,F12_S02_G_low_a02,P3,30,2,3,30,1.0
F12_S02,a01,mid,F12_S02_G_mid_a01,P1,60,1,2,55,0.9166666666666666
F12_S02,a01,mid,F12_S02_G_mid_a01,P2,60,1,2,56,0.9333333333333333
F12_S02,a01,mid,F12_S02_G_mid_a01,P3,60,1,2,60,1.0
F12_S02,a02,high,F12_S02_G_high_a02,P1,90,0,1,84,0.9333333333333333
F12_S02,a02,high,F12_S02_G_high_a02,P2,90,0,1,83,0.9222222222222223
F12_S02,a02,high,F12_S02_G_high_a02,P3,90,0,1,90,1.0
F12_S03,a01,low,F12_S03_G_low_a01,P1,30,2,3,27,0.9
F12_S03,a01,low,F12_S03_G_low_a01,P2,30,2,3,26,0.8666666666666667
F12_S03,a01,low,F12_S03_G_low_a01,P3,30,2,3,30,1.0
F12_S03,a02,mid,F12_S03_G_mid_a02,P1,60,1,2,48,0.8
F12_S03,a02,mid,F12_S03_G_mid_a02,P2,60,1,2,57,0.95
F12_S03,a02,mid,F12_S03_G_mid_a02,P3,60,1,2,60,1.0
F12_S03,a01,high,F12_S03_G_high_a01,P1,90,0,1,81,0.9
F12_S03,a01,high,F12_S03_G_high_a01,P2,90,0,1,86,0.9555555555555556
F12_S03,a01,high,F12_S03_G_high_a01,P3,90,0,1,89,0.9888888888888889
F12_S04,a02,low,F12_S04_G_low_a02,P1,30,2,3,24,0.8
F12_S04,a02,low,F12_S04_G_low_a02,P2,30,2,3,29,0.9666666666666667
F12_S04,a02,low,F12_S04_G_low_a02,P3,30,2,3,30,1.0
F12_S04,a01,mid,F12_S04_G_mid_a01,P1,60,1,2,56,0.9333333333333333
F12_S04,a01,mid,F12_S04_G_mid_a01,P2,60,1,2,54,0.9
F12_S04,a01,mid,F12_S04_G_mid_a01,P3,60,1,2,60,1.0
