scope,metric,value,formula,authoritative_source
F12_S01_G_low_a02,timely_full_generated_fraction,0.3,on_time_full_core_results / 270,F12_S01/attempt_a02/G_low/raw/probe/*/F12_S01_G_low_a02/event_ledger.jsonl
F12_S01_G_low_a02,conditional_post_release_on_time,0.9,on_time_full_core_results / selected_full_events,F12_S01/attempt_a02/G_low/raw/probe/*/F12_S01_G_low_a02/event_ledger.jsonl
F12_S01_G_low_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S01/attempt_a02/G_low/raw/probe/*/F12_S01_G_low_a02/event_ledger.jsonl
F12_S01_G_low_a02,nominal_timely_full_generated_fraction,0.1111111111111111,nominal_on_time_full_core_results / 270,F12_S01/attempt_a02/G_low/raw/probe/*/F12_S01_G_low_a02/event_ledger.jsonl
F12_S01_G_low_a02,eta_attain,0.9,timely_full_generated_fraction / frontier_fraction,F12_S01/attempt_a02/G_low/raw/probe/*/F12_S01_G_low_a02/event_ledger.jsonl
F12_S01_G_mid_a01,timely_full_generated_fraction,0.6259259259259259,on_time_full_core_results / 270,F12_S01/attempt_a01/G_mid/raw/probe/*/F12_S01_G_mid_a01/event_ledger.jsonl
F12_S01_G_mid_a01,conditional_post_release_on_time,0.9388888888888889,on_time_full_core_results / selected_full_events,F12_S01/attempt_a01/G_mid/raw/probe/*/F12_S01_G_mid_a01/event_ledger.jsonl
F12_S01_G_mid_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S01/attempt_a01/G_mid/raw/probe/*/F12_S01_G_mid_a01/event_ledger.jsonl
F12_S01_G_mid_a01,nominal_timely_full_generated_fraction,0.2222222222222222,nominal_on_time_full_core_results / 270,F12_S01/attempt_a01/G_mid/raw/probe/*/F12_S01_G_mid_a01/event_ledger.jsonl
F12_S01_G_mid_a01,eta_attain,0.9388888888888889,timely_full_generated_fraction / frontier_fraction,F12_S01/attempt_a01/G_mid/raw/probe/*/F12_S01_G_mid_a01/event_ledger.jsonl
F12_S01_G_high_a01,timely_full_generated_fraction,0.9703703703703703,on_time_full_core_results / 270,F12_S01/attempt_a01/G_high/raw/probe/*/F12_S01_G_high_a01/event_ledger.jsonl
F12_S01_G_high_a01,conditional_post_release_on_time,0.9703703703703703,on_time_full_core_results / selected_full_events,F12_S01/attempt_a01/G_high/raw/probe/*/F12_S01_G_high_a01/event_ledger.jsonl
F12_S01_G_high_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S01/attempt_a01/G_high/raw/probe/*/F12_S01_G_high_a01/event_ledger.jsonl
F12_S01_G_high_a01,nominal_timely_full_generated_fraction,0.3333333333333333,nominal_on_time_full_core_results / 270,F12_S01/attempt_a01/G_high/raw/probe/*/F12_S01_G_high_a01/event_ledger.jsonl
F12_S01_G_high_a01,eta_attain,0.9703703703703703,timely_full_generated_fraction / frontier_fraction,F12_S01/attempt_a01/G_high/raw/probe/*/F12_S01_G_high_a01/event_ledger.jsonl
F12_S02_G_low_a02,timely_full_generated_fraction,0.3,on_time_full_core_results / 270,F12_S02/attempt_a02/G_low/raw/probe/*/F12_S02_G_low_a02/event_ledger.jsonl
F12_S02_G_low_a02,conditional_post_release_on_time,0.9,on_time_full_core_results / selected_full_events,F12_S02/attempt_a02/G_low/raw/probe/*/F12_S02_G_low_a02/event_ledger.jsonl
F12_S02_G_low_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S02/attempt_a02/G_low/raw/probe/*/F12_S02_G_low_a02/event_ledger.jsonl
F12_S02_G_low_a02,nominal_timely_full_generated_fraction,0.1111111111111111,nominal_on_time_full_core_results / 270,F12_S02/attempt_a02/G_low/raw/probe/*/F12_S02_G_low_a02/event_ledger.jsonl
F12_S02_G_low_a02,eta_attain,0.9,timely_full_generated_fraction / frontier_fraction,F12_S02/attempt_a02/G_low/raw/probe/*/F12_S02_G_low_a02/event_ledger.jsonl
F12_S02_G_mid_a01,timely_full_generated_fraction,0.6333333333333333,on_time_full_core_results / 270,F12_S02/attempt_a01/G_mid/raw/probe/*/F12_S02_G_mid_a01/event_ledger.jsonl
F12_S02_G_mid_a01,conditional_post_release_on_time,0.95,on_time_full_core_results / selected_full_events,F12_S02/attempt_a01/G_mid/raw/probe/*/F12_S02_G_mid_a01/event_ledger.jsonl
F12_S02_G_mid_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S02/attempt_a01/G_mid/raw/probe/*/F12_S02_G_mid_a01/event_ledger.jsonl
F12_S02_G_mid_a01,nominal_timely_full_generated_fraction,0.2222222222222222,nominal_on_time_full_core_results / 270,F12_S02/attempt_a01/G_mid/raw/probe/*/F12_S02_G_mid_a01/event_ledger.jsonl
F12_S02_G_mid_a01,eta_attain,0.95,timely_full_generated_fraction / frontier_fraction,F12_S02/attempt_a01/G_mid/raw/probe/*/F12_S02_G_mid_a01/event_ledger.jsonl
F12_S02_G_high_a02,timely_full_generated_fraction,0.9518518518518518,on_time_full_core_results / 270,F12_S02/attempt_a02/G_high/raw/probe/*/F12_S02_G_high_a02/event_ledger.jsonl
F12_S02_G_high_a02,conditional_post_release_on_time,0.9518518518518518,on_time_full_core_results / selected_full_events,F12_S02/attempt_a02/G_high/raw/probe/*/F12_S02_G_high_a02/event_ledger.jsonl
F12_S02_G_high_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S02/attempt_a02/G_high/raw/probe/*/F12_S02_G_high_a02/event_ledger.jsonl
F12_S02_G_high_a02,nominal_timely_full_generated_fraction,0.3333333333333333,nominal_on_time_full_core_results / 270,F12_S02/attempt_a02/G_high/raw/probe/*/F12_S02_G_high_a02/event_ledger.jsonl
F12_S02_G_high_a02,eta_attain,0.9518518518518518,timely_full_generated_fraction / frontier_fraction,F12_S02/attempt_a02/G_high/raw/probe/*/F12_S02_G_high_a02/event_ledger.jsonl
F12_S03_G_low_a01,timely_full_generated_fraction,0.3074074074074074,on_time_full_core_results / 270,F12_S03/attempt_a01/G_low/raw/probe/*/F12_S03_G_low_a01/event_ledger.jsonl
F12_S03_G_low_a01,conditional_post_release_on_time,0.9222222222222223,on_time_full_core_results / selected_full_events,F12_S03/attempt_a01/G_low/raw/probe/*/F12_S03_G_low_a01/event_ledger.jsonl
