capacity,contrast,endpoint,n_valid_pairs,mean_difference,descriptive_95_interval_low,descriptive_95_interval_high,interval_status,bootstrap_unit,bootstrap_draws,bootstrap_seed,confirmatory_test
high,F-D,conditional_core_completion,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-E,conditional_core_completion,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
low,F-D,conditional_core_completion,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
low,F-E,conditional_core_completion,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
mid,F-D,conditional_core_completion,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-E,conditional_core_completion,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-D,conditional_core_on_time,12,0.005864197530864155,-0.003086419753086452,0.015123456790123427,available,paired session block,10000,12020609,False
high,F-E,conditional_core_on_time,12,-0.00462962962962966,-0.013271604938271639,0.002777777777777768,available,paired session block,10000,12020609,False
low,F-D,conditional_core_on_time,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
low,F-E,conditional_core_on_time,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
mid,F-D,conditional_core_on_time,12,0.8935185185185185,0.862962962962963,0.9231481481481482,available,paired session block,10000,12020609,False
mid,F-E,conditional_core_on_time,12,0.01203703703703704,-0.034259259259259246,0.05833333333333333,available,paired session block,10000,12020609,False
high,F-D,conditional_core_on_time_correct,12,0.005864197530864155,-0.003086419753086452,0.015123456790123427,available,paired session block,10000,12020609,False
high,F-E,conditional_core_on_time_correct,12,-0.00462962962962966,-0.013271604938271639,0.002777777777777768,available,paired session block,10000,12020609,False
low,F-D,conditional_core_on_time_correct,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
low,F-E,conditional_core_on_time_correct,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
mid,F-D,conditional_core_on_time_correct,12,0.8935185185185185,0.862962962962963,0.9231481481481482,available,paired session block,10000,12020609,False
mid,F-E,conditional_core_on_time_correct,12,0.01203703703703704,-0.034259259259259246,0.05833333333333333,available,paired session block,10000,12020609,False
high,F-D,conditional_core_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-E,conditional_core_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
low,F-D,conditional_core_return,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
low,F-E,conditional_core_return,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
mid,F-D,conditional_core_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-E,conditional_core_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-D,core_return_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-E,core_return_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
low,F-D,core_return_coverage,12,-0.24444444444444444,-0.24444444444444444,-0.24444444444444444,available,paired session block,10000,12020609,False
low,F-E,core_return_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-D,core_return_coverage,12,-0.16666666666666669,-0.1666666666666667,-0.1666666666666667,available,paired session block,10000,12020609,False
mid,F-E,core_return_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-D,evidence_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-E,evidence_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
low,F-D,evidence_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
low,F-E,evidence_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-D,evidence_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-E,evidence_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-D,local_return,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
high,F-E,local_return,0,,,,withheld_null_or_missing_pairs,paired session block,10000,12020609,False
low,F-D,local_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
low,F-E,local_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-D,local_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-E,local_return,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
high,F-D,on_time_correct_core_coverage,12,0.005864197530864155,-0.003086419753086452,0.015123456790123427,available,paired session block,10000,12020609,False
high,F-E,on_time_correct_core_coverage,12,-0.00462962962962966,-0.013271604938271639,0.002777777777777768,available,paired session block,10000,12020609,False
low,F-D,on_time_correct_core_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
low,F-E,on_time_correct_core_coverage,12,0.0,0.0,0.0,available,paired session block,10000,12020609,False
mid,F-D,on_time_correct_core_coverage,12,0.2978395061728395,0.2876543209876543,0.3077160493827161,available,paired session block,10000,12020609,False
mid,F-E,on_time_correct_core_coverage,12,0.004012345679012361,-0.011419753086419742,0.01944444444444447,available,paired session block,10000,12020609,False
