capacity,method,endpoint,n_planned,n_observed,n_missing_or_null,mean,sd,min,max
high,A,conditional_core_completion,12,0,12,,,,
high,B,conditional_core_completion,12,0,12,,,,
high,C,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
high,D,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
high,E,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
high,F,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
low,A,conditional_core_completion,12,0,12,,,,
low,B,conditional_core_completion,12,0,12,,,,
low,C,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
low,D,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
low,E,conditional_core_completion,12,0,12,,,,
low,F,conditional_core_completion,12,0,12,,,,
mid,A,conditional_core_completion,12,0,12,,,,
mid,B,conditional_core_completion,12,0,12,,,,
mid,C,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
mid,D,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
mid,E,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
mid,F,conditional_core_completion,12,12,0,1.0,0.0,1.0,1.0
high,A,conditional_core_on_time,12,0,12,,,,
high,B,conditional_core_on_time,12,0,12,,,,
high,C,conditional_core_on_time,12,12,0,0.9635802469135802,0.014198750740546759,0.9444444444444444,0.9962962962962963
high,D,conditional_core_on_time,12,12,0,0.9592592592592593,0.013767709293104951,0.9407407407407408,0.9851851851851852
high,E,conditional_core_on_time,12,12,0,0.9697530864197531,0.015051421470202862,0.9444444444444444,0.9962962962962963
high,F,conditional_core_on_time,12,12,0,0.9651234567901235,0.009535715750822918,0.9444444444444444,0.9814814814814815
low,A,conditional_core_on_time,12,0,12,,,,
low,B,conditional_core_on_time,12,0,12,,,,
low,C,conditional_core_on_time,12,12,0,0.0,0.0,0.0,0.0
low,D,conditional_core_on_time,12,12,0,0.0,0.0,0.0,0.0
low,E,conditional_core_on_time,12,0,12,,,,
low,F,conditional_core_on_time,12,0,12,,,,
mid,A,conditional_core_on_time,12,0,12,,,,
mid,B,conditional_core_on_time,12,0,12,,,,
mid,C,conditional_core_on_time,12,12,0,0.0,0.0,0.0,0.0
mid,D,conditional_core_on_time,12,12,0,0.0,0.0,0.0,0.0
mid,E,conditional_core_on_time,12,12,0,0.8814814814814815,0.051538253221082624,0.7666666666666667,0.9555555555555556
mid,F,conditional_core_on_time,12,12,0,0.8935185185185185,0.055748822081607426,0.8,0.9666666666666667
high,A,conditional_core_on_time_correct,12,0,12,,,,
high,B,conditional_core_on_time_correct,12,0,12,,,,
high,C,conditional_core_on_time_correct,12,12,0,0.9635802469135802,0.014198750740546759,0.9444444444444444,0.9962962962962963
high,D,conditional_core_on_time_correct,12,12,0,0.9592592592592593,0.013767709293104951,0.9407407407407408,0.9851851851851852
high,E,conditional_core_on_time_correct,12,12,0,0.9697530864197531,0.015051421470202862,0.9444444444444444,0.9962962962962963
high,F,conditional_core_on_time_correct,12,12,0,0.9651234567901235,0.009535715750822918,0.9444444444444444,0.9814814814814815
low,A,conditional_core_on_time_correct,12,0,12,,,,
low,B,conditional_core_on_time_correct,12,0,12,,,,
low,C,conditional_core_on_time_correct,12,12,0,0.0,0.0,0.0,0.0
low,D,conditional_core_on_time_correct,12,12,0,0.0,0.0,0.0,0.0
low,E,conditional_core_on_time_correct,12,0,12,,,,
low,F,conditional_core_on_time_correct,12,0,12,,,,
mid,A,conditional_core_on_time_correct,12,0,12,,,,
mid,B,conditional_core_on_time_correct,12,0,12,,,,
mid,C,conditional_core_on_time_correct,12,12,0,0.0,0.0,0.0,0.0
mid,D,conditional_core_on_time_correct,12,12,0,0.0,0.0,0.0,0.0
mid,E,conditional_core_on_time_correct,12,12,0,0.8814814814814815,0.051538253221082624,0.7666666666666667,0.9555555555555556
mid,F,conditional_core_on_time_correct,12,12,0,0.8935185185185185,0.055748822081607426,0.8,0.9666666666666667
high,A,conditional_core_return,12,0,12,,,,
high,B,conditional_core_return,12,0,12,,,,
high,C,conditional_core_return,12,12,0,1.0,0.0,1.0,1.0
high,D,conditional_core_return,12,12,0,1.0,0.0,1.0,1.0
high,E,conditional_core_return,12,12,0,1.0,0.0,1.0,1.0
high,F,conditional_core_return,12,12,0,1.0,0.0,1.0,1.0
low,A,conditional_core_return,12,0,12,,,,
low,B,conditional_core_return,12,0,12,,,,
low,C,conditional_core_return,12,12,0,1.0,0.0,1.0,1.0
