session_id,attempt,run_id,method,capacity,overall,check_count,failed_check_count
F12_S01,a01,F12_S01_A_high_a01,A,high,PASS,4949,0
F12_S01,a01,F12_S01_A_low_a01,A,low,PASS,4949,0
F12_S01,a01,F12_S01_A_mid_a01,A,mid,PASS,4949,0
F12_S01,a01,F12_S01_B_high_a01,B,high,PASS,4949,0
F12_S01,a01,F12_S01_B_low_a01,B,low,PASS,4949,0
F12_S01,a01,F12_S01_B_mid_a01,B,mid,PASS,4949,0
F12_S01,a01,F12_S01_C_high_a01,C,high,PASS,4949,0
F12_S01,a01,F12_S01_C_low_a01,C,low,PASS,4949,0
F12_S01,a01,F12_S01_C_mid_a01,C,mid,PASS,4949,0
F12_S01,a01,F12_S01_D_high_a01,D,high,PASS,4949,0
F12_S01,a01,F12_S01_D_low_a01,D,low,PASS,4949,0
F12_S01,a01,F12_S01_D_mid_a01,D,mid,PASS,4949,0
F12_S01,a01,F12_S01_E_high_a01,E,high,PASS,4949,0
F12_S01,a01,F12_S01_E_low_a01,E,low,PASS,4949,0
F12_S01,a01,F12_S01_E_mid_a01,E,mid,PASS,4949,0
F12_S01,a01,F12_S01_F_high_a01,F,high,PASS,4949,0
F12_S01,a01,F12_S01_F_low_a01,F,low,PASS,4949,0
F12_S01,a01,F12_S01_F_mid_a01,F,mid,PASS,4949,0
F12_S02,a01,F12_S02_A_high_a01,A,high,PASS,4949,0
F12_S02,a01,F12_S02_A_low_a01,A,low,PASS,4949,0
F12_S02,a01,F12_S02_A_mid_a01,A,mid,PASS,4949,0
F12_S02,a01,F12_S02_B_high_a01,B,high,PASS,4949,0
F12_S02,a01,F12_S02_B_low_a01,B,low,PASS,4949,0
F12_S02,a01,F12_S02_B_mid_a01,B,mid,PASS,4949,0
F12_S02,a01,F12_S02_C_high_a01,C,high,PASS,4949,0
F12_S02,a01,F12_S02_C_low_a01,C,low,PASS,4949,0
F12_S02,a01,F12_S02_C_mid_a01,C,mid,PASS,4949,0
F12_S02,a01,F12_S02_D_high_a01,D,high,PASS,4949,0
F12_S02,a01,F12_S02_D_low_a01,D,low,PASS,4949,0
F12_S02,a01,F12_S02_D_mid_a01,D,mid,PASS,4949,0
F12_S02,a01,F12_S02_E_high_a01,E,high,PASS,4949,0
F12_S02,a01,F12_S02_E_low_a01,E,low,PASS,4949,0
F12_S02,a01,F12_S02_E_mid_a01,E,mid,PASS,4949,0
F12_S02,a01,F12_S02_F_high_a01,F,high,PASS,4949,0
F12_S02,a01,F12_S02_F_low_a01,F,low,PASS,4949,0
F12_S02,a01,F12_S02_F_mid_a01,F,mid,PASS,4949,0
F12_S03,a02,F12_S03_A_high_a02,A,high,PASS,4949,0
F12_S03,a02,F12_S03_A_low_a02,A,low,PASS,4949,0
F12_S03,a02,F12_S03_A_mid_a02,A,mid,PASS,4949,0
F12_S03,a02,F12_S03_B_high_a02,B,high,PASS,4949,0
F12_S03,a02,F12_S03_B_low_a02,B,low,PASS,4949,0
F12_S03,a02,F12_S03_B_mid_a02,B,mid,PASS,4949,0
F12_S03,a02,F12_S03_C_high_a02,C,high,PASS,4949,0
F12_S03,a02,F12_S03_C_low_a02,C,low,PASS,4949,0
F12_S03,a02,F12_S03_C_mid_a02,C,mid,PASS,4949,0
F12_S03,a02,F12_S03_D_high_a02,D,high,PASS,4949,0
F12_S03,a02,F12_S03_D_low_a02,D,low,PASS,4949,0
F12_S03,a02,F12_S03_D_mid_a02,D,mid,PASS,4949,0
F12_S03,a02,F12_S03_E_high_a02,E,high,PASS,4949,0
F12_S03,a02,F12_S03_E_low_a02,E,low,PASS,4949,0
F12_S03,a02,F12_S03_E_mid_a02,E,mid,PASS,4949,0
F12_S03,a02,F12_S03_F_high_a02,F,high,PASS,4949,0
F12_S03,a02,F12_S03_F_low_a02,F,low,PASS,4949,0
F12_S03,a02,F12_S03_F_mid_a02,F,mid,PASS,4949,0
F12_S04,a02,F12_S04_A_high_a02,A,high,PASS,4949,0
F12_S04,a02,F12_S04_A_low_a02,A,low,PASS,4949,0
F12_S04,a02,F12_S04_A_mid_a02,A,mid,PASS,4949,0
F12_S04,a02,F12_S04_B_high_a02,B,high,PASS,4949,0
F12_S04,a02,F12_S04_B_low_a02,B,low,PASS,4949,0
F12_S04,a02,F12_S04_B_mid_a02,B,mid,PASS,4949,0
F12_S04,a02,F12_S04_C_high_a02,C,high,PASS,4949,0
F12_S04,a02,F12_S04_C_low_a02,C,low,PASS,4949,0
F12_S04,a02,F12_S04_C_mid_a02,C,mid,PASS,4949,0
F12_S04,a02,F12_S04_D_high_a02,D,high,PASS,4949,0
F12_S04,a02,F12_S04_D_low_a02,D,low,PASS,4949,0
F12_S04,a02,F12_S04_D_mid_a02,D,mid,PASS,4949,0
F12_S04,a02,F12_S04_E_high_a02,E,high,PASS,4949,0
F12_S04,a02,F12_S04_E_low_a02,E,low,PASS,4949,0
F12_S04,a02,F12_S04_E_mid_a02,E,mid,PASS,4949,0
F12_S04,a02,F12_S04_F_high_a02,F,high,PASS,4949,0
F12_S04,a02,F12_S04_F_low_a02,F,low,PASS,4949,0
F12_S04,a02,F12_S04_F_mid_a02,F,mid,PASS,4949,0
F12_S05,a01,F12_S05_A_high_a01,A,high,PASS,4949,0
F12_S05,a01,F12_S05_A_low_a01,A,low,PASS,4949,0
F12_S05,a01,F12_S05_A_mid_a01,A,mid,PASS,4949,0
F12_S05,a01,F12_S05_B_high_a01,B,high,PASS,4949,0
F12_S05,a01,F12_S05_B_low_a01,B,low,PASS,4949,0
F12_S05,a01,F12_S05_B_mid_a01,B,mid,PASS,4949,0
F12_S05,a01,F12_S05_C_high_a01,C,high,PASS,4949,0
F12_S05,a01,F12_S05_C_low_a01,C,low,PASS,4949,0
F12_S05,a01,F12_S05_C_mid_a01,C,mid,PASS,4949,0
F12_S05,a01,F12_S05_D_high_a01,D,high,PASS,4949,0
F12_S05,a01,F12_S05_D_low_a01,D,low,PASS,4949,0
F12_S05,a01,F12_S05_D_mid_a01,D,mid,PASS,4949,0
F12_S05,a01,F12_S05_E_high_a01,E,high,PASS,4949,0
F12_S05,a01,F12_S05_E_low_a01,E,low,PASS,4949,0
F12_S05,a01,F12_S05_E_mid_a01,E,mid,PASS,4949,0
F12_S05,a01,F12_S05_F_high_a01,F,high,PASS,4949,0
F12_S05,a01,F12_S05_F_low_a01,F,low,PASS,4949,0
F12_S05,a01,F12_S05_F_mid_a01,F,mid,PASS,4949,0
F12_S06,a01,F12_S06_A_high_a01,A,high,PASS,4949,0
F12_S06,a01,F12_S06_A_low_a01,A,low,PASS,4949,0
F12_S06,a01,F12_S06_A_mid_a01,A,mid,PASS,4949,0
F12_S06,a01,F12_S06_B_high_a01,B,high,PASS,4949,0
F12_S06,a01,F12_S06_B_low_a01,B,low,PASS,4949,0
F12_S06,a01,F12_S06_B_mid_a01,B,mid,PASS,4949,0
F12_S06,a01,F12_S06_C_high_a01,C,high,PASS,4949,0
F12_S06,a01,F12_S06_C_low_a01,C,low,PASS,4949,0
F12_S06,a01,F12_S06_C_mid_a01,C,mid,PASS,4949,0
F12_S06,a01,F12_S06_D_high_a01,D,high,PASS,4949,0
F12_S06,a01,F12_S06_D_low_a01,D,low,PASS,4949,0
F12_S06,a01,F12_S06_D_mid_a01,D,mid,PASS,4949,0
F12_S06,a01,F12_S06_E_high_a01,E,high,PASS,4949,0
F12_S06,a01,F12_S06_E_low_a01,E,low,PASS,4949,0
F12_S06,a01,F12_S06_E_mid_a01,E,mid,PASS,4949,0
F12_S06,a01,F12_S06_F_high_a01,F,high,PASS,4949,0
F12_S06,a01,F12_S06_F_low_a01,F,low,PASS,4949,0
F12_S06,a01,F12_S06_F_mid_a01,F,mid,PASS,4949,0
F12_S07,a02,F12_S07_A_high_a02,A,high,PASS,4949,0
F12_S07,a02,F12_S07_A_low_a02,A,low,PASS,4949,0
F12_S07,a02,F12_S07_A_mid_a02,A,mid,PASS,4949,0
F12_S07,a02,F12_S07_B_high_a02,B,high,PASS,4949,0
F12_S07,a02,F12_S07_B_low_a02,B,low,PASS,4949,0
F12_S07,a02,F12_S07_B_mid_a02,B,mid,PASS,4949,0
F12_S07,a02,F12_S07_C_high_a02,C,high,PASS,4949,0
F12_S07,a02,F12_S07_C_low_a02,C,low,PASS,4949,0
F12_S07,a02,F12_S07_C_mid_a02,C,mid,PASS,4949,0
F12_S07,a02,F12_S07_D_high_a02,D,high,PASS,4949,0
F12_S07,a02,F12_S07_D_low_a02,D,low,PASS,4949,0
F12_S07,a02,F12_S07_D_mid_a02,D,mid,PASS,4949,0
F12_S07,a02,F12_S07_E_high_a02,E,high,PASS,4949,0
F12_S07,a02,F12_S07_E_low_a02,E,low,PASS,4949,0
F12_S07,a02,F12_S07_E_mid_a02,E,mid,PASS,4949,0
F12_S07,a02,F12_S07_F_high_a02,F,high,PASS,4949,0
